subject_1,subject_2,number_students,PPE_TakingSubj2,PPE_NOTTakingSubj2,Performance_Diff
Chemistry,Art & Design (Fine Art),3370,37.23,37.49,-0.26
Chemistry,Art & Design (Graphics),388,33.59,37.95,-4.36
Chemistry,Art & Design (Photography),490,30.44,38.73,-8.29
Chemistry,Art & Design (Textiles),392,29.59,35.44,-5.85
Chemistry,Bengali,10,31.72,37.57,-5.85
Chemistry,Biology,209803,30.36,32.93,-2.57
Chemistry,Business  Studies:Single,5504,25.69,34.26,-8.57
Chemistry,Chinese,1744,39.7,35.69,4.01
Chemistry,Classical Civilisation,1009,40.97,38.35,2.62
Chemistry,Classical Greek,150,47.14,34.8,12.34
Chemistry,Computer Studies/Computing,6776,33.53,35.12,-1.59
Chemistry,D&T Engineering,95,17.61,33.05,-15.44
Chemistry,D&T Product Design,1502,27.15,33.45,-6.3
Chemistry,D&T Textiles Technology,113,34.38,36.42,-2.04
Chemistry,Dance,124,29.87,33.64,-3.77
Chemistry,Design & Technology,0,NA,36.69,NA
Chemistry,Drama & Theatre Studies,1268,34.47,33.21,1.26
Chemistry,Economics,13974,35.54,35.14,0.4
Chemistry,Electronics,95,32.23,38.08,-5.85
Chemistry,English Language,1302,28.32,34.53,-6.21
Chemistry,English Language & Literature,694,31.89,39.11,-7.22
Chemistry,English Literature,7746,32.4,33.46,-1.06
Chemistry,Environmental Science,763,30.96,37.22,-6.26
Chemistry,Film Studies,238,28.17,39.69,-11.52
Chemistry,French,4230,43.54,37.84,5.7
Chemistry,Geography,16091,36.5,38.48,-1.98
Chemistry,Geology,863,35.63,36.07,-0.44
Chemistry,German,1721,37.58,31.22,6.36
Chemistry,Government & Politics,1918,33.33,33.85,-0.52
Chemistry,Gujarati,0,NA,36.72,NA
Chemistry,History,10829,37.01,38.57,-1.56
Chemistry,History of Art,51,40.65,32.74,7.91
Chemistry,Home Economics: Food,0,NA,37.04,NA
Chemistry,Information & Communications Technology,0,NA,34.95,NA
Chemistry,Irish,0,NA,37.15,NA
Chemistry,Italian,503,37.73,38.9,-1.17
Chemistry,Japanese,211,41.89,34.71,7.18
Chemistry,Latin,853,45.91,35.12,10.79
Chemistry,Law,842,19.99,32.75,-12.76
Chemistry,Logic/ Philosophy,922,44.2,39.91,4.29
Chemistry,Mathematics,188084,42.72,32.66,10.06
Chemistry,Mathematics (Further),32490,48.51,33.59,14.92
Chemistry,Mathematics (Statistics),344,27.23,39.2,-11.97
Chemistry,Media/Film/Tv Studies,371,20.78,33.39,-12.61
Chemistry,Modern Greek,57,41.44,40.28,1.16
Chemistry,Modern Hebrew,23,39.84,38.19,1.65
Chemistry,Music,1823,38.52,32.27,6.25
Chemistry,Music Technology,184,33.11,34.39,-1.28
Chemistry,Other Classical Languages,6,37.61,33.46,4.15
Chemistry,Persian,147,25.08,33.51,-8.43
Chemistry,Physical Education/Sports Studies,3576,30.35,33.83,-3.48
Chemistry,Physics,62735,42.77,37.51,5.26
Chemistry,Polish,385,32.23,34.05,-1.82
Chemistry,Portuguese,83,35.68,39.65,-3.97
Chemistry,Psychology,47135,28.07,36.04,-7.97
Chemistry,Punjabi,94,23.85,33.2,-9.35
Chemistry,Religious Studies,3671,35.36,38.21,-2.85
Chemistry,Russian,549,36.77,34.8,1.97
Chemistry,Sociology,4025,27.92,39.04,-11.12
Chemistry,Spanish,4836,40.39,36.47,3.92
Chemistry,Turkish,232,24.69,32.21,-7.52
Chemistry,Urdu,237,27.96,33.81,-5.85
Chinese,Accounting/Finance,43,55.73,50.2,5.53
Chinese,Ancient History,0,NA,44.13,NA
Chinese,Arabic,0,NA,49.11,NA
Chinese,Art & Design,214,47.2,46.15,1.05
Chinese,Art & Design (3d Studies),66,47.57,47.73,-0.16
Chinese,Art & Design (Critical Studies),32,41.75,43.93,-2.18
Chinese,Art & Design (Fine Art),702,45.26,45.3,-0.04
Chinese,Art & Design (Graphics),67,49.34,48.5,0.84
Chinese,Art & Design (Photography),290,47.29,48.02,-0.73
Chinese,Art & Design (Textiles),174,42.74,41.18,1.56
Chinese,Bengali,0,NA,47.1,NA
Chinese,Biology,1771,52.29,50.04,2.25
Chinese,Business  Studies:Single,935,45.28,43.65,1.63
Chinese,Chemistry,1962,45.52,43.82,1.7
Chinese,Classical Civilisation,53,42.65,42.56,0.09
Chinese,Classical Greek,0,NA,45.71,NA
Chinese,Computer Studies/Computing,380,42.65,44.68,-2.03
Chinese,D&T Engineering,0,NA,50.12,NA
Chinese,D&T Product Design,161,40.56,43.72,-3.16
Chinese,D&T Textiles Technology,7,46.43,42.59,3.84
Chinese,Dance,7,54.57,50.73,3.84
Chinese,Design & Technology,0,NA,49.81,NA
Chinese,Drama & Theatre Studies,49,43.02,47.96,-4.94
Chinese,Economics,1778,44.81,41.3,3.51
Chinese,Electronics,0,NA,49.96,NA
Chinese,English Language,22,52.02,44.83,7.19
Chinese,English Language & Literature,28,24.69,44.28,-19.59
Chinese,English Literature,208,34.42,41.65,-7.23
Chinese,Environmental Science,0,NA,43.52,NA
Chinese,Film Studies,25,46.27,49.95,-3.68
Chinese,French,53,41.07,48.4,-7.33
Chinese,Geography,380,49.96,50.82,-0.86
Chinese,Geology,2,3.44,49.64,-46.2
Chinese,German,23,41.88,50.58,-8.7
Chinese,Government & Politics,161,44.78,51.08,-6.3
Chinese,Gujarati,0,NA,46.78,NA
Chinese,History,405,43.31,47.18,-3.87
Chinese,History of Art,35,50.26,46.41,3.85
Chinese,Home Economics: Food,0,NA,45.1,NA
Chinese,Information & Communications Technology,0,NA,48.75,NA
Chinese,Irish,0,NA,50.36,NA
Chinese,Italian,0,NA,43.13,NA
Chinese,Japanese,28,53.43,49.58,3.85
Chinese,Latin,31,40.96,45.14,-4.18
Chinese,Law,38,36.75,48.7,-11.95
Chinese,Logic/ Philosophy,59,45.73,46.34,-0.61
Chinese,Mathematics,5418,46.26,40.13,6.13
Chinese,Mathematics (Further),1203,46.28,43.52,2.76
Chinese,Mathematics (Statistics),6,37.97,44.14,-6.17
Chinese,Media/Film/Tv Studies,36,43.47,49.66,-6.19
Chinese,Modern Greek,0,NA,42.29,NA
Chinese,Modern Hebrew,0,NA,49.17,NA
Chinese,Music,274,52.11,50.21,1.9
Chinese,Music Technology,51,46.86,49.29,-2.43
Chinese,Other Classical Languages,0,NA,48.57,NA
Chinese,Persian,0,NA,41.65,NA
Chinese,Physical Education/Sports Studies,87,53.88,48.32,5.56
Chinese,Physics,1606,46.37,45.1,1.27
Chinese,Polish,0,NA,43.26,NA
Chinese,Portuguese,0,NA,50.28,NA
Chinese,Psychology,903,51.69,50,1.69
Chinese,Punjabi,0,NA,47.13,NA
Chinese,Religious Studies,91,51.63,47.75,3.88
Chinese,Russian,37,46.37,50.89,-4.52
Chinese,Sociology,182,43.53,47.73,-4.2
Chinese,Spanish,106,49.59,50.14,-0.55
Chinese,Turkish,0,NA,47.9,NA
Chinese,Urdu,0,NA,46.15,NA
Classical Civilisation,Accounting/Finance,16,34.02,38.55,-4.53
Classical Civilisation,Ancient History,304,31.98,39.45,-7.47
Classical Civilisation,Arabic,5,28.53,36.38,-7.85
Classical Civilisation,Art & Design,422,39.48,38.57,0.91
Classical Civilisation,Art & Design (3d Studies),81,31.85,39.73,-7.88
Classical Civilisation,Art & Design (Critical Studies),19,42.32,36.84,5.48
Classical Civilisation,Art & Design (Fine Art),1653,38.86,39.94,-1.08
Classical Civilisation,Art & Design (Graphics),293,32.17,38.89,-6.72
Classical Civilisation,Art & Design (Photography),396,31.2,37.89,-6.69
Classical Civilisation,Art & Design (Textiles),259,37.04,41.19,-4.15
Classical Civilisation,Bengali,0,NA,33.14,NA
Classical Civilisation,Biology,1913,41.85,38.14,3.71
Classical Civilisation,Business  Studies:Single,646,27.98,33.15,-5.17
Classical Civilisation,Chemistry,1056,47.13,41.8,5.33
Classical Civilisation,Chinese,49,43.46,40.06,3.4
Classical Civilisation,Classical Greek,78,50.75,37.66,13.09
Classical Civilisation,Computer Studies/Computing,342,35,35.28,-0.28
Classical Civilisation,D&T Engineering,16,35.09,39.61,-4.52
Classical Civilisation,D&T Product Design,156,29.42,35.71,-6.29
Classical Civilisation,D&T Textiles Technology,40,39.66,40.37,-0.71
Classical Civilisation,Dance,41,35.07,34.35,0.72
Classical Civilisation,Design & Technology,0,NA,39.23,NA
Classical Civilisation,Drama & Theatre Studies,1154,35.53,35.3,0.23
Classical Civilisation,Economics,1135,43.02,39.28,3.74
Classical Civilisation,Electronics,0,NA,40.62,NA
Classical Civilisation,English Language,766,36.19,37.47,-1.28
Classical Civilisation,English Language & Literature,851,35.7,36.61,-0.91
Classical Civilisation,English Literature,6989,42.04,37.46,4.58
Classical Civilisation,Environmental Science,103,33.67,39.55,-5.88
Classical Civilisation,Film Studies,845,33.93,38.14,-4.21
Classical Civilisation,French,743,45.1,38.23,6.87
Classical Civilisation,Geography,1382,36.69,37,-0.31
Classical Civilisation,Geology,141,33.41,38.34,-4.93
Classical Civilisation,German,226,45.52,40.55,4.97
Classical Civilisation,Government & Politics,2159,36.43,36.22,0.21
Classical Civilisation,Gujarati,0,NA,37.37,NA
Classical Civilisation,History,6414,37.67,35.28,2.39
Classical Civilisation,History of Art,281,41.83,37.41,4.42
Classical Civilisation,Home Economics: Food,0,NA,36.54,NA
Classical Civilisation,Information & Communications Technology,0,NA,35.76,NA
Classical Civilisation,Irish,0,NA,40.3,NA
Classical Civilisation,Italian,36,31.78,38.22,-6.44
Classical Civilisation,Japanese,18,37.68,35.54,2.14
Classical Civilisation,Latin,803,49.91,38.28,11.63
Classical Civilisation,Law,677,37.49,40.06,-2.57
Classical Civilisation,Logic/ Philosophy,930,39.05,39.33,-0.28
Classical Civilisation,Mathematics,2237,41.95,36.17,5.78
Classical Civilisation,Mathematics (Further),261,45.79,37.81,7.98
Classical Civilisation,Mathematics (Statistics),11,38.9,41.76,-2.86
Classical Civilisation,Media/Film/Tv Studies,369,33.33,40.78,-7.45
Classical Civilisation,Modern Greek,6,36.16,34.01,2.15
Classical Civilisation,Modern Hebrew,0,NA,37.97,NA
Classical Civilisation,Music,304,42.13,40.54,1.59
Classical Civilisation,Music Technology,57,35.62,36.48,-0.86
Classical Civilisation,Other Classical Languages,0,NA,40.33,NA
Classical Civilisation,Persian,0,NA,40.37,NA
Classical Civilisation,Physical Education/Sports Studies,179,38.09,38.53,-0.44
Classical Civilisation,Physics,588,38.17,35.86,2.31
Classical Civilisation,Polish,38,39.4,33.91,5.49
Classical Civilisation,Portuguese,11,39.11,41.97,-2.86
Classical Civilisation,Psychology,3431,36.32,37.04,-0.72
Classical Civilisation,Punjabi,0,NA,35.53,NA
Classical Civilisation,Religious Studies,1902,41.18,39.7,1.48
Classical Civilisation,Russian,24,42.43,40.28,2.15
Classical Civilisation,Sociology,1811,33.84,39.99,-6.15
Classical Civilisation,Spanish,580,37.97,34.08,3.89
Classical Civilisation,Turkish,0,NA,38.13,NA
Classical Civilisation,Urdu,0,NA,42.02,NA
Classical Greek,Accounting/Finance,0,NA,50.15,NA
Classical Greek,Ancient History,23,55.65,53.68,1.97
Classical Greek,Arabic,0,NA,53.3,NA
Classical Greek,Art & Design,7,45.06,49.81,-4.75
Classical Greek,Art & Design (3d Studies),0,NA,57.38,NA
Classical Greek,Art & Design (Critical Studies),0,NA,55.22,NA
Classical Greek,Art & Design (Fine Art),22,55.58,57,-1.42
Classical Greek,Art & Design (Graphics),0,NA,57.76,NA
Classical Greek,Art & Design (Photography),0,NA,55.98,NA
Classical Greek,Art & Design (Textiles),0,NA,56.12,NA
Classical Greek,Bengali,0,NA,52.51,NA
Classical Greek,Biology,112,52.95,53.75,-0.8
Classical Greek,Business  Studies:Single,5,31.04,55.91,-24.87
Classical Greek,Chemistry,165,58.7,59.43,-0.73
Classical Greek,Chinese,0,NA,59.68,NA
Classical Greek,Classical Civilisation,80,54.82,56.95,-2.13
Classical Greek,Computer Studies/Computing,15,58.25,57.98,0.27
Classical Greek,D&T Engineering,0,NA,54.91,NA
Classical Greek,D&T Product Design,8,64.54,59.24,5.3
Classical Greek,D&T Textiles Technology,0,NA,57.09,NA
Classical Greek,Dance,0,NA,54.15,NA
Classical Greek,Design & Technology,0,NA,57.92,NA
Classical Greek,Drama & Theatre Studies,21,52.32,57.13,-4.81
Classical Greek,Economics,65,54.18,56.81,-2.63
Classical Greek,Electronics,0,NA,54.93,NA
Classical Greek,English Language,7,50,54.76,-4.76
Classical Greek,English Language & Literature,0,NA,50.33,NA
Classical Greek,English Literature,238,52.93,50.48,2.45
Classical Greek,Environmental Science,0,NA,52.11,NA
Classical Greek,Film Studies,0,NA,53.66,NA
Classical Greek,French,167,56.85,55.52,1.33
Classical Greek,Geography,0,NA,50.21,NA
Classical Greek,Geology,7,51.31,56.06,-4.75
Classical Greek,German,46,54.17,52.17,2
Classical Greek,Government & Politics,30,54.52,54.24,0.28
Classical Greek,Gujarati,0,NA,59.46,NA
Classical Greek,History,354,58.33,55.67,2.66
Classical Greek,History of Art,21,48.49,53.3,-4.81
Classical Greek,Home Economics: Food,0,NA,56.02,NA
Classical Greek,Information & Communications Technology,0,NA,55.83,NA
Classical Greek,Irish,0,NA,57.15,NA
Classical Greek,Italian,8,64.5,59.21,5.29
Classical Greek,Japanese,0,NA,55.97,NA
Classical Greek,Latin,1016,55.51,53.69,1.82
Classical Greek,Law,0,NA,59.15,NA
Classical Greek,Logic/ Philosophy,0,NA,51.81,NA
Classical Greek,Mathematics,495,53.38,52.96,0.42
Classical Greek,Mathematics (Further),128,52.96,52.34,0.62
Classical Greek,Mathematics (Statistics),0,NA,50.71,NA
Classical Greek,Media/Film/Tv Studies,0,NA,52.6,NA
Classical Greek,Modern Greek,0,NA,55.53,NA
Classical Greek,Modern Hebrew,0,NA,51.04,NA
Classical Greek,Music,48,45.47,51.88,-6.41
Classical Greek,Music Technology,8,61.77,56.48,5.29
Classical Greek,Other Classical Languages,0,NA,50.33,NA
Classical Greek,Persian,0,NA,57.23,NA
Classical Greek,Physical Education/Sports Studies,0,NA,51.79,NA
Classical Greek,Physics,127,50.69,55.32,-4.63
Classical Greek,Polish,0,NA,54.59,NA
Classical Greek,Portuguese,0,NA,50.96,NA
Classical Greek,Psychology,8,61.9,56.6,5.3
Classical Greek,Punjabi,0,NA,59,NA
Classical Greek,Religious Studies,99,53.33,52.63,0.7
Classical Greek,Russian,30,59.55,59.28,0.27
Classical Greek,Sociology,0,NA,53.23,NA
Classical Greek,Spanish,67,50.63,50.93,-0.3
Classical Greek,Turkish,0,NA,55.27,NA
Classical Greek,Urdu,0,NA,54.08,NA
Computer Studies/Computing,Accounting/Finance,556,21.52,30.04,-8.52
Computer Studies/Computing,Ancient History,119,23.62,31.08,-7.46
Computer Studies/Computing,Arabic,109,26.78,34.23,-7.45
Computer Studies/Computing,Art & Design,467,23.77,28.48,-4.71
Computer Studies/Computing,Art & Design (3d Studies),289,21.68,29.91,-8.23
Computer Studies/Computing,Art & Design (Critical Studies),7,47.12,29.57,17.55
Computer Studies/Computing,Art & Design (Fine Art),1140,30.02,32.84,-2.82
Computer Studies/Computing,Art & Design (Graphics),1071,20.45,28.03,-7.58
Computer Studies/Computing,Art & Design (Photography),700,22.16,31.5,-9.34
Computer Studies/Computing,Art & Design (Textiles),75,21.85,29.6,-7.75
Computer Studies/Computing,Bengali,4,20.54,32.99,-12.45
Computer Studies/Computing,Biology,5334,36.1,37.36,-1.26
Computer Studies/Computing,Business  Studies:Single,7581,19.16,28.57,-9.41
Computer Studies/Computing,Chemistry,6981,38.11,35.12,2.99
Computer Studies/Computing,Chinese,311,35.82,37.25,-1.43
Computer Studies/Computing,Classical Civilisation,322,38.05,36.52,1.53
Computer Studies/Computing,Classical Greek,11,30.06,27.51,2.55
Computer Studies/Computing,D&T Engineering,229,18.08,28.56,-10.48
Computer Studies/Computing,D&T Product Design,1905,27.86,33.98,-6.12
Computer Studies/Computing,D&T Textiles Technology,6,9.58,32.02,-22.44
Computer Studies/Computing,Dance,15,26.91,29.35,-2.44
Computer Studies/Computing,Design & Technology,0,NA,36.11,NA
Computer Studies/Computing,Drama & Theatre Studies,413,29,31.94,-2.94
Computer Studies/Computing,Economics,11594,32.15,34.97,-2.82
Computer Studies/Computing,Electronics,1026,31.02,36.71,-5.69
Computer Studies/Computing,English Language,741,28.15,34.32,-6.17
Computer Studies/Computing,English Language & Literature,250,27.97,36.33,-8.36
Computer Studies/Computing,English Literature,1273,30.94,34.66,-3.72
Computer Studies/Computing,Environmental Science,118,28.37,33.62,-5.25
Computer Studies/Computing,Film Studies,572,23.72,32.72,-9
Computer Studies/Computing,French,669,34.97,32.72,2.25
Computer Studies/Computing,Geography,3581,23.71,28.32,-4.61
Computer Studies/Computing,Geology,94,26.46,28.9,-2.44
Computer Studies/Computing,German,436,40.47,34.22,6.25
Computer Studies/Computing,Government & Politics,1241,32.43,35.96,-3.53
Computer Studies/Computing,Gujarati,0,NA,36.84,NA
Computer Studies/Computing,History,3547,32.96,37.43,-4.47
Computer Studies/Computing,History of Art,18,38.03,30.47,7.56
Computer Studies/Computing,Home Economics: Food,0,NA,32.75,NA
Computer Studies/Computing,Information & Communications Technology,0,NA,37.21,NA
Computer Studies/Computing,Irish,0,NA,31.12,NA
Computer Studies/Computing,Italian,128,25.43,32.17,-6.74
Computer Studies/Computing,Japanese,15,29.62,32.06,-2.44
Computer Studies/Computing,Latin,166,49.95,36.77,13.18
Computer Studies/Computing,Law,794,26.65,36.8,-10.15
Computer Studies/Computing,Logic/ Philosophy,337,31.22,30.85,0.37
Computer Studies/Computing,Mathematics,74405,32.94,18.53,14.41
Computer Studies/Computing,Mathematics (Further),24228,44.28,27.28,17
Computer Studies/Computing,Mathematics (Statistics),385,19.85,28.06,-8.21
Computer Studies/Computing,Media/Film/Tv Studies,1318,26.76,36.49,-9.73
Computer Studies/Computing,Modern Greek,9,26.66,34.1,-7.44
Computer Studies/Computing,Modern Hebrew,4,16.83,29.27,-12.44
Computer Studies/Computing,Music,970,35.5,30.89,4.61
Computer Studies/Computing,Music Technology,509,28.54,29.8,-1.26
Computer Studies/Computing,Other Classical Languages,0,NA,34.57,NA
Computer Studies/Computing,Persian,33,38.82,36.26,2.56
Computer Studies/Computing,Physical Education/Sports Studies,410,21.02,29.72,-8.7
Computer Studies/Computing,Physics,41081,42.05,34.02,8.03
Computer Studies/Computing,Polish,203,33.36,36.78,-3.42
Computer Studies/Computing,Portuguese,37,33.22,32.81,0.41
Computer Studies/Computing,Psychology,5287,25.93,31.53,-5.6
Computer Studies/Computing,Punjabi,29,18.47,34.67,-16.2
Computer Studies/Computing,Religious Studies,663,30.03,34,-3.97
Computer Studies/Computing,Russian,306,36.14,36.86,-0.72
Computer Studies/Computing,Sociology,1368,23.4,34.54,-11.14
Computer Studies/Computing,Spanish,893,31.47,31.14,0.33
Computer Studies/Computing,Turkish,106,25.64,31.57,-5.93
Computer Studies/Computing,Urdu,41,22.28,33.73,-11.45
D&T Engineering,Accounting/Finance,26,25.49,34.37,-8.88
D&T Engineering,Ancient History,0,NA,29.6,NA
D&T Engineering,Arabic,0,NA,36.07,NA
D&T Engineering,Art & Design,5,27.25,29.37,-2.12
D&T Engineering,Art & Design (3d Studies),32,19.15,31.45,-12.3
D&T Engineering,Art & Design (Critical Studies),0,NA,29.99,NA
D&T Engineering,Art & Design (Fine Art),67,29.31,29.11,0.2
D&T Engineering,Art & Design (Graphics),7,18.06,35.24,-17.18
D&T Engineering,Art & Design (Photography),36,29.99,37.21,-7.22
D&T Engineering,Art & Design (Textiles),0,NA,32.75,NA
D&T Engineering,Bengali,0,NA,36.81,NA
D&T Engineering,Biology,92,35.32,36.93,-1.61
D&T Engineering,Business  Studies:Single,214,29.67,33.96,-4.29
D&T Engineering,Chemistry,131,31.58,29.43,2.15
D&T Engineering,Chinese,0,NA,34.98,NA
D&T Engineering,Classical Civilisation,19,47,35.71,11.29
D&T Engineering,Classical Greek,0,NA,27.99,NA
D&T Engineering,Computer Studies/Computing,271,30.84,34.01,-3.17
D&T Engineering,D&T Product Design,84,30.08,33.47,-3.39
D&T Engineering,D&T Textiles Technology,0,NA,31.27,NA
D&T Engineering,Dance,0,NA,36.14,NA
D&T Engineering,Design & Technology,0,NA,35.23,NA
D&T Engineering,Drama & Theatre Studies,0,NA,33.64,NA
D&T Engineering,Economics,193,33.16,33.04,0.12
D&T Engineering,Electronics,0,NA,27.63,NA
D&T Engineering,English Language,3,9.14,31.29,-22.15
D&T Engineering,English Language & Literature,19,23.71,28.36,-4.65
D&T Engineering,English Literature,14,19.54,36.78,-17.24
D&T Engineering,Environmental Science,10,30.06,32.18,-2.12
D&T Engineering,Film Studies,19,24.5,29.14,-4.64
D&T Engineering,French,23,39.59,34.16,5.43
D&T Engineering,Geography,184,29.84,36.73,-6.89
D&T Engineering,Geology,37,31.48,30.72,0.76
D&T Engineering,German,17,34.78,30.19,4.59
D&T Engineering,Government & Politics,21,29.89,29.5,0.39
D&T Engineering,Gujarati,0,NA,33.74,NA
D&T Engineering,History,72,24.45,29.37,-4.92
D&T Engineering,History of Art,0,NA,31.75,NA
D&T Engineering,Home Economics: Food,0,NA,36.77,NA
D&T Engineering,Information & Communications Technology,0,NA,34.25,NA
D&T Engineering,Irish,0,NA,37.1,NA
D&T Engineering,Italian,2,4.07,36.24,-32.17
D&T Engineering,Japanese,7,52.38,34.46,17.92
D&T Engineering,Latin,0,NA,35.81,NA
D&T Engineering,Law,19,30.59,35.23,-4.64
D&T Engineering,Logic/ Philosophy,0,NA,27.14,NA
D&T Engineering,Mathematics,1815,40.68,28.45,12.23
D&T Engineering,Mathematics (Further),221,46.12,26.41,19.71
D&T Engineering,Mathematics (Statistics),0,NA,31.52,NA
D&T Engineering,Media/Film/Tv Studies,14,24.85,30.32,-5.47
D&T Engineering,Modern Greek,0,NA,29.53,NA
D&T Engineering,Modern Hebrew,0,NA,32.83,NA
D&T Engineering,Music,0,NA,31.23,NA
D&T Engineering,Music Technology,9,25.53,32.67,-7.14
D&T Engineering,Other Classical Languages,0,NA,28.4,NA
D&T Engineering,Persian,0,NA,32.09,NA
D&T Engineering,Physical Education/Sports Studies,52,31.08,36.95,-5.87
D&T Engineering,Physics,1420,36.94,25.03,11.91
D&T Engineering,Polish,0,NA,34.93,NA
D&T Engineering,Portuguese,0,NA,28.59,NA
D&T Engineering,Psychology,111,28.79,29.57,-0.78
D&T Engineering,Punjabi,0,NA,27.78,NA
D&T Engineering,Religious Studies,6,38.14,30.23,7.91
D&T Engineering,Russian,0,NA,32.91,NA
D&T Engineering,Sociology,12,22.6,34.78,-12.18
D&T Engineering,Spanish,7,48.39,30.47,17.92
D&T Engineering,Turkish,4,21.99,34.12,-12.13
D&T Engineering,Urdu,0,NA,35.17,NA
D&T Product Design,Accounting/Finance,78,25.23,32.95,-7.72
D&T Product Design,Ancient History,11,33.16,31.15,2.01
D&T Product Design,Arabic,13,19.14,28.81,-9.67
D&T Product Design,Art & Design,1146,28.94,31.43,-2.49
D&T Product Design,Art & Design (3d Studies),98,26.26,32.61,-6.35
D&T Product Design,Art & Design (Critical Studies),0,NA,37.37,NA
D&T Product Design,Art & Design (Fine Art),2908,32.32,33.05,-0.73
D&T Product Design,Art & Design (Graphics),703,26.38,29.94,-3.56
D&T Product Design,Art & Design (Photography),1210,27.28,37.07,-9.79
D&T Product Design,Art & Design (Textiles),233,24.06,30.24,-6.18
D&T Product Design,Bengali,0,NA,34.69,NA
D&T Product Design,Biology,2665,39.27,33.26,6.01
D&T Product Design,Business  Studies:Single,6293,34.32,36.25,-1.93
D&T Product Design,Chemistry,1849,42.21,35.16,7.05
D&T Product Design,Chinese,140,30.58,28.95,1.63
D&T Product Design,Classical Civilisation,168,30.81,28.96,1.85
D&T Product Design,Classical Greek,8,58.77,31.77,27
D&T Product Design,Computer Studies/Computing,2121,33.9,34.26,-0.36
D&T Product Design,D&T Engineering,91,32.83,31.12,1.71
D&T Product Design,D&T Textiles Technology,53,41.95,36.05,5.9
D&T Product Design,Dance,43,31.43,30.68,0.75
D&T Product Design,Design & Technology,0,NA,30.45,NA
D&T Product Design,Drama & Theatre Studies,349,30.41,32.56,-2.15
D&T Product Design,Economics,2967,39.56,36.9,2.66
D&T Product Design,Electronics,112,29.15,28.34,0.81
D&T Product Design,English Language,686,34.13,35.96,-1.83
D&T Product Design,English Language & Literature,277,31.54,35.1,-3.56
D&T Product Design,English Literature,1369,38.04,36.62,1.42
D&T Product Design,Environmental Science,149,37.78,34.47,3.31
D&T Product Design,Film Studies,359,26.73,32.9,-6.17
D&T Product Design,French,334,37.41,33.31,4.1
D&T Product Design,Geography,5546,29.88,28.3,1.58
D&T Product Design,Geology,136,39.21,31.73,7.48
D&T Product Design,German,212,42.59,36.67,5.92
D&T Product Design,Government & Politics,799,36.66,35.25,1.41
D&T Product Design,Gujarati,0,NA,29.07,NA
D&T Product Design,History,2527,31.44,31.9,-0.46
D&T Product Design,History of Art,89,44.82,33.51,11.31
D&T Product Design,Home Economics: Food,0,NA,29.65,NA
D&T Product Design,Information & Communications Technology,0,NA,34.73,NA
D&T Product Design,Irish,0,NA,35.57,NA
D&T Product Design,Italian,86,34.85,35.5,-0.65
D&T Product Design,Japanese,18,36.31,29.3,7.01
D&T Product Design,Latin,19,41.76,31.42,10.34
D&T Product Design,Law,255,30.5,36.18,-5.68
D&T Product Design,Logic/ Philosophy,155,41.13,37.69,3.44
D&T Product Design,Mathematics,16047,41.69,30.38,11.31
D&T Product Design,Mathematics (Further),1498,48.25,31.76,16.49
D&T Product Design,Mathematics (Statistics),59,33.83,33.2,0.63
D&T Product Design,Media/Film/Tv Studies,1261,23.41,31.31,-7.9
D&T Product Design,Modern Greek,7,51.56,34.55,17.01
D&T Product Design,Modern Hebrew,0,NA,33.71,NA
D&T Product Design,Music,256,36.75,34.74,2.01
D&T Product Design,Music Technology,133,27.08,33.31,-6.23
D&T Product Design,Other Classical Languages,0,NA,36.38,NA
D&T Product Design,Persian,13,45.68,33.68,12
D&T Product Design,Physical Education/Sports Studies,1097,36.55,37.68,-1.13
D&T Product Design,Physics,11525,36.17,26.66,9.51
D&T Product Design,Polish,102,31.97,34.48,-2.51
D&T Product Design,Portuguese,22,33.62,31.62,2
D&T Product Design,Psychology,3556,36.51,36.91,-0.4
D&T Product Design,Punjabi,30,27.82,37.97,-10.15
D&T Product Design,Religious Studies,684,31.99,31.81,0.18
D&T Product Design,Russian,103,33.52,30.4,3.12
D&T Product Design,Sociology,1466,23.48,28.61,-5.13
D&T Product Design,Spanish,443,30.19,28.36,1.83
D&T Product Design,Turkish,4,20.06,33.06,-13
D&T Product Design,Urdu,4,19.45,32.45,-13
D&T Textiles Technology,Accounting/Finance,0,NA,36.14,NA
D&T Textiles Technology,Ancient History,0,NA,31.44,NA
D&T Textiles Technology,Arabic,0,NA,36.85,NA
D&T Textiles Technology,Art & Design,150,32.85,37.02,-4.17
D&T Textiles Technology,Art & Design (3d Studies),0,NA,38.7,NA
D&T Textiles Technology,Art & Design (Critical Studies),6,40.7,34.6,6.1
D&T Textiles Technology,Art & Design (Fine Art),330,36.97,38.37,-1.4
D&T Textiles Technology,Art & Design (Graphics),27,34.98,34.89,0.09
D&T Textiles Technology,Art & Design (Photography),231,27.02,34.09,-7.07
D&T Textiles Technology,Art & Design (Textiles),29,55,36.26,18.74
D&T Textiles Technology,Bengali,0,NA,29.69,NA
D&T Textiles Technology,Biology,206,39.3,32.74,6.56
D&T Textiles Technology,Business  Studies:Single,453,39.84,38.62,1.22
D&T Textiles Technology,Chemistry,135,43.64,32.8,10.84
D&T Textiles Technology,Chinese,6,37.46,31.36,6.1
D&T Textiles Technology,Classical Civilisation,41,42.82,38.09,4.73
