"subject_1","Grade_1","subject_2","number_students","PPE_TakingSubj2","PPE_NOTTakingSubj2"
"Art & Design (Graphics)","*","Economics",27,"z","z"
"Art & Design (Graphics)","*","Electronics",0,"z","z"
"Art & Design (Graphics)","*","English Language",21,"z","z"
"Art & Design (Graphics)","*","English Language & Literature",21,"z","z"
"Art & Design (Graphics)","*","English Literature",57,"z","z"
"Art & Design (Graphics)","*","Environmental Science",8,"z","z"
"Art & Design (Graphics)","*","Film Studies",31,"z","z"
"Art & Design (Graphics)","*","French",16,"z","z"
"Art & Design (Graphics)","*","Geography",58,"z","z"
"Art & Design (Graphics)","*","Geology",2,"z","z"
"Art & Design (Graphics)","*","German",6,"z","z"
"Art & Design (Graphics)","*","Government & Politics",15,"z","z"
"Art & Design (Graphics)","*","Gujarati",0,"z","z"
"Art & Design (Graphics)","*","History",52,"z","z"
"Art & Design (Graphics)","*","History of Art",6,"z","z"
"Art & Design (Graphics)","*","Home Economics: Food",0,"z","z"
"Art & Design (Graphics)","*","Information & Communications Technology",0,"z","z"
"Art & Design (Graphics)","*","Irish",0,"z","z"
"Art & Design (Graphics)","*","Italian",1,"z","z"
"Art & Design (Graphics)","*","Japanese",0,"z","z"
"Art & Design (Graphics)","*","Latin",0,"z","z"
"Art & Design (Graphics)","*","Law",11,"z","z"
"Art & Design (Graphics)","*","Logic/ Philosophy",8,"z","z"
"Art & Design (Graphics)","*","Mathematics",133,"z","z"
"Art & Design (Graphics)","*","Mathematics (Further)",11,"z","z"
"Art & Design (Graphics)","*","Mathematics (Statistics)",2,"z","z"
"Art & Design (Graphics)","*","Media/Film/Tv Studies",62,"z","z"
"Art & Design (Graphics)","*","Modern Greek",0,"z","z"
"Art & Design (Graphics)","*","Modern Hebrew",0,"z","z"
"Art & Design (Graphics)","*","Music",4,"z","z"
"Art & Design (Graphics)","*","Music Technology",4,"z","z"
"Art & Design (Graphics)","*","Other Classical Languages",0,"z","z"
"Art & Design (Graphics)","*","Persian",0,"z","z"
"Art & Design (Graphics)","*","Physical Education/Sports Studies",10,"z","z"
"Art & Design (Graphics)","*","Physics",29,"z","z"
"Art & Design (Graphics)","*","Polish",2,"z","z"
"Art & Design (Graphics)","*","Portuguese",0,"z","z"
"Art & Design (Graphics)","*","Psychology",92,"z","z"
"Art & Design (Graphics)","*","Punjabi",0,"z","z"
"Art & Design (Graphics)","*","Religious Studies",17,"z","z"
"Art & Design (Graphics)","*","Russian",1,"z","z"
"Art & Design (Graphics)","*","Sociology",39,"z","z"
"Art & Design (Graphics)","*","Spanish",11,"z","z"
"Art & Design (Graphics)","*","Turkish",0,"z","z"
"Art & Design (Graphics)","*","Urdu",0,"z","z"
"Art & Design (Graphics)","A","Accounting/Finance",6,"z","z"
"Art & Design (Graphics)","A","Ancient History",5,"z","z"
"Art & Design (Graphics)","A","Arabic",0,"z","z"
"Art & Design (Graphics)","A","Art & Design",75,"z","z"
"Art & Design (Graphics)","A","Art & Design (3d Studies)",59,"z","z"
"Art & Design (Graphics)","A","Art & Design (Critical Studies)",4,"z","z"
"Art & Design (Graphics)","A","Art & Design (Fine Art)",284,"z","z"
"Art & Design (Graphics)","A","Art & Design (Photography)",200,"z","z"
"Art & Design (Graphics)","A","Art & Design (Textiles)",74,"z","z"
"Art & Design (Graphics)","A","Bengali",0,"z","z"
"Art & Design (Graphics)","A","Biology",82,"z","z"
"Art & Design (Graphics)","A","Business  Studies:Single",168,"z","z"
"Art & Design (Graphics)","A","Chemistry",41,"z","z"
"Art & Design (Graphics)","A","Chinese",1,"z","z"
"Art & Design (Graphics)","A","Classical Civilisation",19,"z","z"
"Art & Design (Graphics)","A","Classical Greek",0,"z","z"
"Art & Design (Graphics)","A","Computer Studies/Computing",76,"z","z"
"Art & Design (Graphics)","A","D&T Engineering",0,"z","z"
"Art & Design (Graphics)","A","D&T Product Design",35,"z","z"
"Art & Design (Graphics)","A","D&T Textiles Technology",2,"z","z"
"Art & Design (Graphics)","A","Dance",7,"z","z"
"Art & Design (Graphics)","A","Design & Technology",0,"z","z"
"Art & Design (Graphics)","A","Drama & Theatre Studies",14,"z","z"
"Art & Design (Graphics)","A","Economics",49,"z","z"
"Art & Design (Graphics)","A","Electronics",2,"z","z"
"Art & Design (Graphics)","A","English Language",58,"z","z"
"Art & Design (Graphics)","A","English Language & Literature",53,"z","z"
"Art & Design (Graphics)","A","English Literature",124,"z","z"
"Art & Design (Graphics)","A","Environmental Science",21,"z","z"
"Art & Design (Graphics)","A","Film Studies",75,"z","z"
"Art & Design (Graphics)","A","French",30,"z","z"
"Art & Design (Graphics)","A","Geography",130,"z","z"
"Art & Design (Graphics)","A","Geology",7,"z","z"
"Art & Design (Graphics)","A","German",8,"z","z"
"Art & Design (Graphics)","A","Government & Politics",30,"z","z"
"Art & Design (Graphics)","A","Gujarati",0,"z","z"
"Art & Design (Graphics)","A","History",98,"z","z"
"Art & Design (Graphics)","A","History of Art",9,"z","z"
"Art & Design (Graphics)","A","Home Economics: Food",0,"z","z"
"Art & Design (Graphics)","A","Information & Communications Technology",0,"z","z"
"Art & Design (Graphics)","A","Irish",0,"z","z"
"Art & Design (Graphics)","A","Italian",5,"z","z"
"Art & Design (Graphics)","A","Japanese",1,"z","z"
"Art & Design (Graphics)","A","Latin",0,"z","z"
"Art & Design (Graphics)","A","Law",19,"z","z"
"Art & Design (Graphics)","A","Logic/ Philosophy",18,"z","z"
"Art & Design (Graphics)","A","Mathematics",278,"z","z"
"Art & Design (Graphics)","A","Mathematics (Further)",18,"z","z"
"Art & Design (Graphics)","A","Mathematics (Statistics)",5,"z","z"
"Art & Design (Graphics)","A","Media/Film/Tv Studies",153,"z","z"
"Art & Design (Graphics)","A","Modern Greek",0,"z","z"
"Art & Design (Graphics)","A","Modern Hebrew",0,"z","z"
"Art & Design (Graphics)","A","Music",7,"z","z"
"Art & Design (Graphics)","A","Music Technology",5,"z","z"
"Art & Design (Graphics)","A","Other Classical Languages",0,"z","z"
"Art & Design (Graphics)","A","Persian",0,"z","z"
"Art & Design (Graphics)","A","Physical Education/Sports Studies",27,"z","z"
"Art & Design (Graphics)","A","Physics",72,"z","z"
"Art & Design (Graphics)","A","Polish",3,"z","z"
"Art & Design (Graphics)","A","Portuguese",1,"z","z"
"Art & Design (Graphics)","A","Psychology",219,"z","z"
"Art & Design (Graphics)","A","Punjabi",0,"z","z"
"Art & Design (Graphics)","A","Religious Studies",25,"z","z"
"Art & Design (Graphics)","A","Russian",2,"z","z"
"Art & Design (Graphics)","A","Sociology",105,"z","z"
"Art & Design (Graphics)","A","Spanish",24,"z","z"
"Art & Design (Graphics)","A","Turkish",1,"z","z"
"Art & Design (Graphics)","A","Urdu",0,"z","z"
"Art & Design (Graphics)","All","Accounting/Finance",23,"37.04","36.85"
"Art & Design (Graphics)","All","Ancient History",27,"43.29","43.77"
"Art & Design (Graphics)","All","Arabic",6,"34.06","38.01"
"Art & Design (Graphics)","All","Art & Design",215,"44.3","43.15"
"Art & Design (Graphics)","All","Art & Design (3d Studies)",193,"34.67","35.87"
"Art & Design (Graphics)","All","Art & Design (Critical Studies)",32,"36.8","40.92"
"Art & Design (Graphics)","All","Art & Design (Fine Art)",779,"44","41.49"
"Art & Design (Graphics)","All","Art & Design (Photography)",691,"34.09","34.97"
"Art & Design (Graphics)","All","Art & Design (Textiles)",221,"37.14","34.58"
"Art & Design (Graphics)","All","Bengali",0,NA,"40.93"
"Art & Design (Graphics)","All","Biology",163,"49.68","43.5"
"Art & Design (Graphics)","All","Business  Studies:Single",637,"42.65","43.69"
"Art & Design (Graphics)","All","Chemistry",71,"41.29","35"
"Art & Design (Graphics)","All","Chinese",10,"38.44","41.38"
"Art & Design (Graphics)","All","Classical Civilisation",57,"39.57","38.33"
"Art & Design (Graphics)","All","Classical Greek",0,NA,"41.98"
"Art & Design (Graphics)","All","Computer Studies/Computing",248,"44.23","43.17"
"Art & Design (Graphics)","All","D&T Engineering",2,"36.08","40.02"
"Art & Design (Graphics)","All","D&T Product Design",148,"41.2","42.78"
"Art & Design (Graphics)","All","D&T Textiles Technology",5,"42.01","34.94"
"Art & Design (Graphics)","All","Dance",10,"47.13","39.06"
"Art & Design (Graphics)","All","Design & Technology",0,NA,"42.54"
"Art & Design (Graphics)","All","Drama & Theatre Studies",59,"38.18","41.12"
"Art & Design (Graphics)","All","Economics",149,"41.48","40.11"
"Art & Design (Graphics)","All","Electronics",12,"27.47","34.89"
"Art & Design (Graphics)","All","English Language",189,"43.62","41.9"
"Art & Design (Graphics)","All","English Language & Literature",150,"40.85","39.41"
"Art & Design (Graphics)","All","English Literature",279,"40.19","36.51"
"Art & Design (Graphics)","All","Environmental Science",41,"45.18","39.94"
"Art & Design (Graphics)","All","Film Studies",273,"37.15","37.87"
"Art & Design (Graphics)","All","French",54,"43.83","36.88"
"Art & Design (Graphics)","All","Geography",349,"39.89","37.3"
"Art & Design (Graphics)","All","Geology",25,"37.3","39.45"
"Art & Design (Graphics)","All","German",17,"50.56","43.23"
"Art & Design (Graphics)","All","Government & Politics",69,"40.98","36.19"
"Art & Design (Graphics)","All","Gujarati",0,NA,"43.75"
"Art & Design (Graphics)","All","History",240,"39.75","36.46"
"Art & Design (Graphics)","All","History of Art",13,"52.22","41.13"
"Art & Design (Graphics)","All","Home Economics: Food",0,NA,"39.66"
"Art & Design (Graphics)","All","Information & Communications Technology",0,NA,"39.03"
"Art & Design (Graphics)","All","Irish",0,NA,"43.22"
"Art & Design (Graphics)","All","Italian",12,"36.81","37.42"
"Art & Design (Graphics)","All","Japanese",3,"36.15","35.09"
"Art & Design (Graphics)","All","Latin",0,NA,"39.26"
"Art & Design (Graphics)","All","Law",75,"37.96","38.22"
"Art & Design (Graphics)","All","Logic/ Philosophy",44,"45.29","42.78"
"Art & Design (Graphics)","All","Mathematics",594,"45.66","39.61"
"Art & Design (Graphics)","All","Mathematics (Further)",24,"48.1","37.41"
"Art & Design (Graphics)","All","Mathematics (Statistics)",12,"44.79","42.05"
"Art & Design (Graphics)","All","Media/Film/Tv Studies",587,"40.54","41.41"
"Art & Design (Graphics)","All","Modern Greek",0,NA,"36.24"
"Art & Design (Graphics)","All","Modern Hebrew",0,NA,"40.72"
"Art & Design (Graphics)","All","Music",12,"46.74","37.32"
"Art & Design (Graphics)","All","Music Technology",28,"34.92","35.59"
"Art & Design (Graphics)","All","Other Classical Languages",2,"28.45","37.4"
"Art & Design (Graphics)","All","Persian",2,"35.91","39.85"
"Art & Design (Graphics)","All","Physical Education/Sports Studies",72,"43.19","40.97"
"Art & Design (Graphics)","All","Physics",163,"41.66","38.11"
"Art & Design (Graphics)","All","Polish",4,"56.42","42.85"
"Art & Design (Graphics)","All","Portuguese",2,"39.43","43.38"
"Art & Design (Graphics)","All","Psychology",581,"43.77","40.55"
"Art & Design (Graphics)","All","Punjabi",1,"30.57","39.51"
"Art & Design (Graphics)","All","Religious Studies",70,"38.43","36.52"
"Art & Design (Graphics)","All","Russian",8,"40.76","38.45"
"Art & Design (Graphics)","All","Sociology",356,"40.51","41.76"
"Art & Design (Graphics)","All","Spanish",56,"39.41","35.9"
"Art & Design (Graphics)","All","Turkish",3,"31.08","36.69"
"Art & Design (Graphics)","All","Urdu",0,NA,"39.7"
"Art & Design (Graphics)","B","Accounting/Finance",15,"z","z"
"Art & Design (Graphics)","B","Ancient History",19,"z","z"
"Art & Design (Graphics)","B","Arabic",3,"z","z"
"Art & Design (Graphics)","B","Art & Design",148,"z","z"
"Art & Design (Graphics)","B","Art & Design (3d Studies)",123,"z","z"
"Art & Design (Graphics)","B","Art & Design (Critical Studies)",14,"z","z"
"Art & Design (Graphics)","B","Art & Design (Fine Art)",546,"z","z"
"Art & Design (Graphics)","B","Art & Design (Photography)",455,"z","z"
"Art & Design (Graphics)","B","Art & Design (Textiles)",172,"z","z"
"Art & Design (Graphics)","B","Bengali",0,"z","z"
"Art & Design (Graphics)","B","Biology",125,"z","z"
"Art & Design (Graphics)","B","Business  Studies:Single",379,"z","z"
"Art & Design (Graphics)","B","Chemistry",59,"z","z"
"Art & Design (Graphics)","B","Chinese",5,"z","z"
"Art & Design (Graphics)","B","Classical Civilisation",38,"z","z"
"Art & Design (Graphics)","B","Classical Greek",0,"z","z"
"Art & Design (Graphics)","B","Computer Studies/Computing",160,"z","z"
"Art & Design (Graphics)","B","D&T Engineering",1,"z","z"
"Art & Design (Graphics)","B","D&T Product Design",85,"z","z"
"Art & Design (Graphics)","B","D&T Textiles Technology",5,"z","z"
"Art & Design (Graphics)","B","Dance",9,"z","z"
"Art & Design (Graphics)","B","Design & Technology",0,"z","z"
"Art & Design (Graphics)","B","Drama & Theatre Studies",29,"z","z"
"Art & Design (Graphics)","B","Economics",93,"z","z"
"Art & Design (Graphics)","B","Electronics",5,"z","z"
"Art & Design (Graphics)","B","English Language",130,"z","z"
"Art & Design (Graphics)","B","English Language & Literature",101,"z","z"
"Art & Design (Graphics)","B","English Literature",220,"z","z"
"Art & Design (Graphics)","B","Environmental Science",30,"z","z"
"Art & Design (Graphics)","B","Film Studies",174,"z","z"
"Art & Design (Graphics)","B","French",41,"z","z"
"Art & Design (Graphics)","B","Geography",241,"z","z"
"Art & Design (Graphics)","B","Geology",14,"z","z"
"Art & Design (Graphics)","B","German",12,"z","z"
"Art & Design (Graphics)","B","Government & Politics",57,"z","z"
"Art & Design (Graphics)","B","Gujarati",0,"z","z"
"Art & Design (Graphics)","B","History",168,"z","z"
"Art & Design (Graphics)","B","History of Art",12,"z","z"
"Art & Design (Graphics)","B","Home Economics: Food",0,"z","z"
"Art & Design (Graphics)","B","Information & Communications Technology",0,"z","z"
"Art & Design (Graphics)","B","Irish",0,"z","z"
"Art & Design (Graphics)","B","Italian",7,"z","z"
"Art & Design (Graphics)","B","Japanese",2,"z","z"
"Art & Design (Graphics)","B","Latin",0,"z","z"
"Art & Design (Graphics)","B","Law",44,"z","z"
"Art & Design (Graphics)","B","Logic/ Philosophy",24,"z","z"
"Art & Design (Graphics)","B","Mathematics",453,"z","z"
"Art & Design (Graphics)","B","Mathematics (Further)",20,"z","z"
"Art & Design (Graphics)","B","Mathematics (Statistics)",9,"z","z"
"Art & Design (Graphics)","B","Media/Film/Tv Studies",357,"z","z"
"Art & Design (Graphics)","B","Modern Greek",0,"z","z"
"Art & Design (Graphics)","B","Modern Hebrew",0,"z","z"
"Art & Design (Graphics)","B","Music",11,"z","z"
"Art & Design (Graphics)","B","Music Technology",17,"z","z"
"Art & Design (Graphics)","B","Other Classical Languages",0,"z","z"
"Art & Design (Graphics)","B","Persian",1,"z","z"
"Art & Design (Graphics)","B","Physical Education/Sports Studies",47,"z","z"
"Art & Design (Graphics)","B","Physics",115,"z","z"
"Art & Design (Graphics)","B","Polish",4,"z","z"
"Art & Design (Graphics)","B","Portuguese",1,"z","z"
"Art & Design (Graphics)","B","Psychology",406,"z","z"
"Art & Design (Graphics)","B","Punjabi",0,"z","z"
"Art & Design (Graphics)","B","Religious Studies",45,"z","z"
"Art & Design (Graphics)","B","Russian",6,"z","z"
"Art & Design (Graphics)","B","Sociology",190,"z","z"
"Art & Design (Graphics)","B","Spanish",46,"z","z"
"Art & Design (Graphics)","B","Turkish",1,"z","z"
"Art & Design (Graphics)","B","Urdu",0,"z","z"
"Art & Design (Graphics)","C","Accounting/Finance",20,"z","z"
"Art & Design (Graphics)","C","Ancient History",24,"z","z"
"Art & Design (Graphics)","C","Arabic",6,"z","z"
"Art & Design (Graphics)","C","Art & Design",174,"z","z"
"Art & Design (Graphics)","C","Art & Design (3d Studies)",160,"z","z"
"Art & Design (Graphics)","C","Art & Design (Critical Studies)",27,"z","z"
"Art & Design (Graphics)","C","Art & Design (Fine Art)",699,"z","z"
"Art & Design (Graphics)","C","Art & Design (Photography)",613,"z","z"
"Art & Design (Graphics)","C","Art & Design (Textiles)",218,"z","z"
"Art & Design (Graphics)","C","Bengali",0,"z","z"
"Art & Design (Graphics)","C","Biology",140,"z","z"
"Art & Design (Graphics)","C","Business  Studies:Single",511,"z","z"
"Art & Design (Graphics)","C","Chemistry",72,"z","z"
"Art & Design (Graphics)","C","Chinese",10,"z","z"
"Art & Design (Graphics)","C","Classical Civilisation",45,"z","z"
"Art & Design (Graphics)","C","Classical Greek",0,"z","z"
"Art & Design (Graphics)","C","Computer Studies/Computing",223,"z","z"
"Art & Design (Graphics)","C","D&T Engineering",2,"z","z"
"Art & Design (Graphics)","C","D&T Product Design",117,"z","z"
"Art & Design (Graphics)","C","D&T Textiles Technology",5,"z","z"
"Art & Design (Graphics)","C","Dance",9,"z","z"
"Art & Design (Graphics)","C","Design & Technology",0,"z","z"
"Art & Design (Graphics)","C","Drama & Theatre Studies",45,"z","z"
"Art & Design (Graphics)","C","Economics",128,"z","z"
"Art & Design (Graphics)","C","Electronics",10,"z","z"
"Art & Design (Graphics)","C","English Language",172,"z","z"
"Art & Design (Graphics)","C","English Language & Literature",129,"z","z"
"Art & Design (Graphics)","C","English Literature",265,"z","z"
"Art & Design (Graphics)","C","Environmental Science",38,"z","z"
"Art & Design (Graphics)","C","Film Studies",235,"z","z"
"Art & Design (Graphics)","C","French",54,"z","z"
"Art & Design (Graphics)","C","Geography",313,"z","z"
"Art & Design (Graphics)","C","Geology",19,"z","z"
"Art & Design (Graphics)","C","German",15,"z","z"
"Art & Design (Graphics)","C","Government & Politics",67,"z","z"
"Art & Design (Graphics)","C","Gujarati",0,"z","z"
"Art & Design (Graphics)","C","History",229,"z","z"
"Art & Design (Graphics)","C","History of Art",12,"z","z"
"Art & Design (Graphics)","C","Home Economics: Food",0,"z","z"
"Art & Design (Graphics)","C","Information & Communications Technology",0,"z","z"
"Art & Design (Graphics)","C","Irish",0,"z","z"
"Art & Design (Graphics)","C","Italian",10,"z","z"
"Art & Design (Graphics)","C","Japanese",3,"z","z"
"Art & Design (Graphics)","C","Latin",0,"z","z"
"Art & Design (Graphics)","C","Law",72,"z","z"
"Art & Design (Graphics)","C","Logic/ Philosophy",41,"z","z"
"Art & Design (Graphics)","C","Mathematics",554,"z","z"
"Art & Design (Graphics)","C","Mathematics (Further)",20,"z","z"
"Art & Design (Graphics)","C","Mathematics (Statistics)",10,"z","z"
"Art & Design (Graphics)","C","Media/Film/Tv Studies",513,"z","z"
"Art & Design (Graphics)","C","Modern Greek",0,"z","z"
"Art & Design (Graphics)","C","Modern Hebrew",0,"z","z"
"Art & Design (Graphics)","C","Music",12,"z","z"
"Art & Design (Graphics)","C","Music Technology",26,"z","z"
"Art & Design (Graphics)","C","Other Classical Languages",2,"z","z"
"Art & Design (Graphics)","C","Persian",2,"z","z"
"Art & Design (Graphics)","C","Physical Education/Sports Studies",63,"z","z"
"Art & Design (Graphics)","C","Physics",148,"z","z"
"Art & Design (Graphics)","C","Polish",4,"z","z"
"Art & Design (Graphics)","C","Portuguese",1,"z","z"
"Art & Design (Graphics)","C","Psychology",519,"z","z"
"Art & Design (Graphics)","C","Punjabi",1,"z","z"
"Art & Design (Graphics)","C","Religious Studies",66,"z","z"
"Art & Design (Graphics)","C","Russian",8,"z","z"
"Art & Design (Graphics)","C","Sociology",288,"z","z"
"Art & Design (Graphics)","C","Spanish",51,"z","z"
"Art & Design (Graphics)","C","Turkish",2,"z","z"
"Art & Design (Graphics)","C","Urdu",0,"z","z"
"Art & Design (Graphics)","D","Accounting/Finance",24,"z","z"
"Art & Design (Graphics)","D","Ancient History",25,"z","z"
"Art & Design (Graphics)","D","Arabic",6,"z","z"
"Art & Design (Graphics)","D","Art & Design",189,"z","z"
"Art & Design (Graphics)","D","Art & Design (3d Studies)",190,"z","z"
"Art & Design (Graphics)","D","Art & Design (Critical Studies)",30,"z","z"
"Art & Design (Graphics)","D","Art & Design (Fine Art)",753,"z","z"
"Art & Design (Graphics)","D","Art & Design (Photography)",669,"z","z"
"Art & Design (Graphics)","D","Art & Design (Textiles)",224,"z","z"
"Art & Design (Graphics)","D","Bengali",0,"z","z"
"Art & Design (Graphics)","D","Biology",145,"z","z"
"Art & Design (Graphics)","D","Business  Studies:Single",611,"z","z"
"Art & Design (Graphics)","D","Chemistry",72,"z","z"
"Art & Design (Graphics)","D","Chinese",10,"z","z"
"Art & Design (Graphics)","D","Classical Civilisation",53,"z","z"
"Art & Design (Graphics)","D","Classical Greek",0,"z","z"
"Art & Design (Graphics)","D","Computer Studies/Computing",233,"z","z"
"Art & Design (Graphics)","D","D&T Engineering",2,"z","z"
"Art & Design (Graphics)","D","D&T Product Design",138,"z","z"
"Art & Design (Graphics)","D","D&T Textiles Technology",5,"z","z"
"Art & Design (Graphics)","D","Dance",10,"z","z"
"Art & Design (Graphics)","D","Design & Technology",0,"z","z"
"Art & Design (Graphics)","D","Drama & Theatre Studies",54,"z","z"
"Art & Design (Graphics)","D","Economics",137,"z","z"
"Art & Design (Graphics)","D","Electronics",12,"z","z"
"Art & Design (Graphics)","D","English Language",184,"z","z"
"Art & Design (Graphics)","D","English Language & Literature",139,"z","z"
"Art & Design (Graphics)","D","English Literature",273,"z","z"
"Art & Design (Graphics)","D","Environmental Science",40,"z","z"
"Art & Design (Graphics)","D","Film Studies",273,"z","z"
"Art & Design (Graphics)","D","French",52,"z","z"
"Art & Design (Graphics)","D","Geography",358,"z","z"
"Art & Design (Graphics)","D","Geology",24,"z","z"
"Art & Design (Graphics)","D","German",16,"z","z"
"Art & Design (Graphics)","D","Government & Politics",74,"z","z"
"Art & Design (Graphics)","D","Gujarati",0,"z","z"
"Art & Design (Graphics)","D","History",242,"z","z"
"Art & Design (Graphics)","D","History of Art",12,"z","z"
"Art & Design (Graphics)","D","Home Economics: Food",0,"z","z"
"Art & Design (Graphics)","D","Information & Communications Technology",0,"z","z"
"Art & Design (Graphics)","D","Irish",0,"z","z"
"Art & Design (Graphics)","D","Italian",11,"z","z"
"Art & Design (Graphics)","D","Japanese",3,"z","z"
"Art & Design (Graphics)","D","Latin",0,"z","z"
"Art & Design (Graphics)","D","Law",75,"z","z"
"Art & Design (Graphics)","D","Logic/ Philosophy",40,"z","z"
"Art & Design (Graphics)","D","Mathematics",582,"z","z"
"Art & Design (Graphics)","D","Mathematics (Further)",24,"z","z"
"Art & Design (Graphics)","D","Mathematics (Statistics)",12,"z","z"
"Art & Design (Graphics)","D","Media/Film/Tv Studies",535,"z","z"
"Art & Design (Graphics)","D","Modern Greek",0,"z","z"
"Art & Design (Graphics)","D","Modern Hebrew",0,"z","z"
"Art & Design (Graphics)","D","Music",12,"z","z"
"Art & Design (Graphics)","D","Music Technology",29,"z","z"
"Art & Design (Graphics)","D","Other Classical Languages",2,"z","z"
"Art & Design (Graphics)","D","Persian",2,"z","z"
"Art & Design (Graphics)","D","Physical Education/Sports Studies",68,"z","z"
"Art & Design (Graphics)","D","Physics",160,"z","z"
"Art & Design (Graphics)","D","Polish",4,"z","z"
"Art & Design (Graphics)","D","Portuguese",2,"z","z"
"Art & Design (Graphics)","D","Psychology",557,"z","z"
"Art & Design (Graphics)","D","Punjabi",1,"z","z"
"Art & Design (Graphics)","D","Religious Studies",69,"z","z"
"Art & Design (Graphics)","D","Russian",8,"z","z"
"Art & Design (Graphics)","D","Sociology",345,"z","z"
"Art & Design (Graphics)","D","Spanish",56,"z","z"
"Art & Design (Graphics)","D","Turkish",3,"z","z"
"Art & Design (Graphics)","D","Urdu",0,"z","z"
"Art & Design (Graphics)","E","Accounting/Finance",24,"z","z"
"Art & Design (Graphics)","E","Ancient History",26,"z","z"
"Art & Design (Graphics)","E","Arabic",6,"z","z"
"Art & Design (Graphics)","E","Art & Design",210,"z","z"
"Art & Design (Graphics)","E","Art & Design (3d Studies)",194,"z","z"
"Art & Design (Graphics)","E","Art & Design (Critical Studies)",30,"z","z"
"Art & Design (Graphics)","E","Art & Design (Fine Art)",787,"z","z"
"Art & Design (Graphics)","E","Art & Design (Photography)",728,"z","z"
"Art & Design (Graphics)","E","Art & Design (Textiles)",241,"z","z"
"Art & Design (Graphics)","E","Bengali",0,"z","z"
"Art & Design (Graphics)","E","Biology",158,"z","z"
"Art & Design (Graphics)","E","Business  Studies:Single",595,"z","z"
"Art & Design (Graphics)","E","Chemistry",76,"z","z"
"Art & Design (Graphics)","E","Chinese",10,"z","z"
"Art & Design (Graphics)","E","Classical Civilisation",59,"z","z"
"Art & Design (Graphics)","E","Classical Greek",0,"z","z"
"Art & Design (Graphics)","E","Computer Studies/Computing",238,"z","z"
"Art & Design (Graphics)","E","D&T Engineering",2,"z","z"
"Art & Design (Graphics)","E","D&T Product Design",137,"z","z"
"Art & Design (Graphics)","E","D&T Textiles Technology",5,"z","z"
"Art & Design (Graphics)","E","Dance",10,"z","z"
"Art & Design (Graphics)","E","Design & Technology",0,"z","z"
"Art & Design (Graphics)","E","Drama & Theatre Studies",58,"z","z"
"Art & Design (Graphics)","E","Economics",150,"z","z"
"Art & Design (Graphics)","E","Electronics",12,"z","z"
"Art & Design (Graphics)","E","English Language",184,"z","z"
"Art & Design (Graphics)","E","English Language & Literature",149,"z","z"
"Art & Design (Graphics)","E","English Literature",294,"z","z"
"Art & Design (Graphics)","E","Environmental Science",39,"z","z"
"Art & Design (Graphics)","E","Film Studies",287,"z","z"
"Art & Design (Graphics)","E","French",54,"z","z"
"Art & Design (Graphics)","E","Geography",347,"z","z"
"Art & Design (Graphics)","E","Geology",26,"z","z"
"Art & Design (Graphics)","E","German",16,"z","z"
"Art & Design (Graphics)","E","Government & Politics",70,"z","z"
"Art & Design (Graphics)","E","Gujarati",0,"z","z"
"Art & Design (Graphics)","E","History",235,"z","z"
"Art & Design (Graphics)","E","History of Art",14,"z","z"
"Art & Design (Graphics)","E","Home Economics: Food",0,"z","z"
"Art & Design (Graphics)","E","Information & Communications Technology",0,"z","z"
"Art & Design (Graphics)","E","Irish",0,"z","z"
"Art & Design (Graphics)","E","Italian",13,"z","z"
"Art & Design (Graphics)","E","Japanese",3,"z","z"
"Art & Design (Graphics)","E","Latin",0,"z","z"
"Art & Design (Graphics)","E","Law",74,"z","z"
"Art & Design (Graphics)","E","Logic/ Philosophy",42,"z","z"
"Art & Design (Graphics)","E","Mathematics",595,"z","z"
"Art & Design (Graphics)","E","Mathematics (Further)",24,"z","z"
"Art & Design (Graphics)","E","Mathematics (Statistics)",12,"z","z"
"Art & Design (Graphics)","E","Media/Film/Tv Studies",547,"z","z"
"Art & Design (Graphics)","E","Modern Greek",0,"z","z"
"Art & Design (Graphics)","E","Modern Hebrew",0,"z","z"
"Art & Design (Graphics)","E","Music",12,"z","z"
"Art & Design (Graphics)","E","Music Technology",29,"z","z"
"Art & Design (Graphics)","E","Other Classical Languages",2,"z","z"
"Art & Design (Graphics)","E","Persian",2,"z","z"
"Art & Design (Graphics)","E","Physical Education/Sports Studies",71,"z","z"
"Art & Design (Graphics)","E","Physics",162,"z","z"
"Art & Design (Graphics)","E","Polish",4,"z","z"
"Art & Design (Graphics)","E","Portuguese",2,"z","z"
"Art & Design (Graphics)","E","Psychology",573,"z","z"
"Art & Design (Graphics)","E","Punjabi",1,"z","z"
"Art & Design (Graphics)","E","Religious Studies",71,"z","z"
"Art & Design (Graphics)","E","Russian",8,"z","z"
"Art & Design (Graphics)","E","Sociology",346,"z","z"
"Art & Design (Graphics)","E","Spanish",58,"z","z"
"Art & Design (Graphics)","E","Turkish",3,"z","z"
"Art & Design (Graphics)","E","Urdu",0,"z","z"
"Art & Design (Graphics)","U","Accounting/Finance",23,"z","z"
"Art & Design (Graphics)","U","Ancient History",26,"z","z"
"Art & Design (Graphics)","U","Arabic",6,"z","z"
"Art & Design (Graphics)","U","Art & Design",197,"z","z"
"Art & Design (Graphics)","U","Art & Design (3d Studies)",191,"z","z"
"Art & Design (Graphics)","U","Art & Design (Critical Studies)",30,"z","z"
